Credibility,Clarity,Completeness,Consistency,Empathy,Familiarity,Friendliness,Attraction,Liking,Similarity,Usefulness and Willingness to use
3,3.5,2,3,2.5,4,3,3,3,2.5,3.333333333
4,4,3.5,5,3.5,3,5,4,3.5,3.5,2.666666667
4,3.5,3,4,3.5,4,4,3,4,3.5,3.333333333
5,5,5,5,5,4,5,4,5,4.5,4.333333333
4,3.5,3.5,4,4,5,4,3,3.5,4,3
4.5,5,4,4,4,4,5,5,4,4,2.666666667
5,3.5,3,3,4,5,4,4,5,4,4.333333333
5,5,5,5,5,1,5,5,5,4.5,2.666666667
4,4,4,4,3.5,5,4,3,3,3,2
2.5,2.5,2.5,3,1.5,1,5,3,3,1.5,1
3,3.5,3,4,2,2,4,3,3,3,2.333333333
4,4,3.5,4,3,2,4,3,3.5,2.5,3.666666667
4,4,3.5,4,2.5,4,4,3,3,4,3.666666667
4,4,3,4,3,4,3,3,2.5,3,2.333333333
